epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.242,0.80647,0.80283,0.93935,0.98266,0.97019,0.99096,0.79976,0.73535,0.40764,0.92345,0.000555448,0.000555448,0.000555448
2,1024.36,0.75076,0.42685,0.93353,0.98119,0.97021,0.99046,0.81024,0.69058,0.3771,0.92172,0.00100111,0.00100111,0.00100111
3,1524.33,0.72842,0.40438,0.93081,0.9851,0.974,0.99306,0.83481,0.62996,0.32172,0.90376,0.00133676,0.00133676,0.00133676
4,2023.44,0.67156,0.35996,0.90989,0.98674,0.97879,0.99397,0.85656,0.59081,0.29065,0.88718,0.0011719,0.0011719,0.0011719
5,2521.7,0.63086,0.33139,0.89586,0.98955,0.98083,0.99415,0.8665,0.56435,0.27155,0.88193,0.00100687,0.00100687,0.00100687
6,3023.16,0.59972,0.31063,0.88394,0.9876,0.98317,0.99436,0.87494,0.54507,0.25534,0.87419,0.000841835,0.000841835,0.000841835
7,3525.97,0.57094,0.29029,0.87077,0.9891,0.98215,0.9944,0.8811,0.52469,0.24182,0.86237,0.000676802,0.000676802,0.000676802
8,4029.37,0.54434,0.27287,0.86274,0.98943,0.98318,0.99451,0.88619,0.51419,0.23303,0.861,0.000511769,0.000511769,0.000511769
9,4529.43,0.52119,0.25687,0.85344,0.98925,0.98388,0.9946,0.89248,0.50309,0.224,0.85556,0.000346736,0.000346736,0.000346736
10,5027.34,0.49683,0.24103,0.84727,0.98792,0.9848,0.99457,0.89386,0.49388,0.21953,0.85244,0.000181703,0.000181703,0.000181703
